,MANAGING_ORG,MANAGING_ORG_NAME,PERMIT_CN,PERMIT_ID,ISSUE_DATE,TERMINATION_DATE,PERMIT_STATUS,LINE_TYPE,GRZ_YEAR,LIVESTOCK_NBR,LIVESTOCK_KIND,FROM_DATE,TO_DATE,AUM,HEAD_MONTHS,RMU_CN,RMU_ID,RMU_NAME,Unnamed: 18,Unnamed: 19,RMU_CN.1,AUM.1,HM
0,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,10.0,CATTLE,6/25,9/1,35.0,23.0,10231.010355,00606,1 A,,,10231.010355,1756.0,1327.0
1,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,268.0,CATTLE,5/20,10/14,1721.0,1304.0,10231.010355,00606,1 A,,,10230.010355,1214.0,918.0
2,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,7.0,CATTLE,7/10,9/1,18.0,12.0,10230.010355,00605,1 B,,,10223.010355,1739.0,1313.0
3,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,212.0,CATTLE,5/15,9/21,1196.0,906.0,10230.010355,00605,1 B,,,10224.010355,1096.0,828.0
4,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,10.0,CATTLE,7/25,10/20,44.0,29.0,10223.010355,00655,2 A,,,1714876.010602,861.0,651.0
5,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,275.0,CATTLE,6/1,10/20,1695.0,1284.0,10223.010355,00655,2 A,,,10246.010355,602.0,455.0
6,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,7.0,CATTLE,6/25,8/23,21.0,14.0,10224.010355,00656,2 B,,,10225.010355,3146.0,2377.0
7,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,75.0,CATTLE,5/24,9/20,391.0,296.0,10224.010355,00656,2 B,,,10227.010355,4040.0,3054.0
8,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,108.0,CATTLE,5/16,10/8,684.0,518.0,10224.010355,00656,2 B,,,10148.010355,2407.0,2792.0
9,11806.0,GRAND RIVER RANGER DISTRICT,6385817010602.0,GRGA-2021,1/8/2021,12/31/2031,ACTIVE,AUTH_USE,2021.0,7.0,CATTLE,7/25,9/1,14.0,9.0,1714876.010602,00673,2C EAST,,,10515.010355,7558.0,5725.0
