,FID,RANGERDIST,REGION,FORESTNUMB,DISTRICTNU,DISTRICTOR,FORESTNAME,DISTRICTNA,GIS_ACRES,SHAPE_AREA,SHAPE_LEN
0,0,99090701010343,9,7,1,90701,Ottawa National Forest,Bergland Ranger District,268259.981,0.127473147,2.496319406
1,1,99061503010343,6,15,3,61503,Umpqua National Forest,Diamond Lake Ranger District,316631.984,0.142026944,2.078548676
2,2,99041705010343,4,17,5,41705,Humboldt-Toiyabe National Forest,Spring Mountains National Recreation Area,322198.476,0.130775142,2.483202975
3,3,99080906010343,8,9,6,80906,Ouachita National Forest,Kiamichi Ranger District,126353.337,0.050283448,2.17155492
4,4,99090521010343,9,5,21,90521,Mark Twain National Forest,Ava/Cassville/Willow Springs Ranger District,732308.05,0.299014459,6.332210444
5,5,99020406010343,2,4,6,20406,"Grand Mesa, Uncompahgre and Gunnison National Forests",Ouray Ranger District,364348.11,0.151749192,4.073154213
6,6,99090702010343,9,7,2,90702,Ottawa National Forest,Bessemer Ranger District,358846.298,0.170036641,3.00773936
7,7,99061506010343,6,15,6,61506,Umpqua National Forest,North Umpqua Ranger District,268046.062,0.120398759,2.31427037
8,8,99090404010343,9,4,4,90404,Huron-Manistee National Forest,White Cloud Ranger District,493953.803,0.222669249,3.226988885
9,9,99041904010343,4,19,4,41904,Uinta-Wasatch-Cache National Forest,Evanston-Mountain View Ranger District,494504.776,0.213827693,3.383729945
10,10,99041206010343,4,12,6,41206,Payette National Forest,Krassel Ranger District,1065746.279,0.493408379,4.864860201
11,11,99061102010343,6,10,22,61022,Rogue River-Siskiyou National Forests,Wild Rivers Ranger District,509254.026,0.224890931,4.868221864
12,12,99091004010343,9,10,4,91004,Hiawatha National Forest,Sault Ste. Marie Ranger District,303206.228,0.143338269,1.859021945
13,13,99011202010343,1,15,12,11512,Helena-Lewis and Clark National Forest,Helena Ranger District,454532.926,0.216054762,5.79802727
14,14,99041907010343,4,19,7,41907,Uinta-Wasatch-Cache National Forest,Logan Ranger District,368949.681,0.161647171,2.779857456
15,15,99060601010343,6,6,1,60601,Mt. Hood National Forest,Barlow Ranger District,178500.588,0.08285523,1.902205599
16,16,99041308010343,4,13,8,41308,Salmon-Challis National Forest,Leadore Ranger District,328967.012,0.151223546,5.718733876
17,17,99060404010343,6,4,4,60404,Malheur National Forest,Prairie City Ranger District,390486.212,0.178090969,2.951881817
18,18,99041557010343,4,15,57,41557,Caribou-Targhee National Forest,Westside Ranger District,416464.192,0.184313938,6.643348836
19,19,99061602010343,6,16,2,61602,Wallowa-Whitman National Forest,Wallowa Valley Ranger District,356697.628,0.166527048,5.473483978
