,ADMIN_ORG,ADMIN_ORG_NAME,RMU_ID,RMU_NAME,RMU_STATUS,NEPA_DECISION_TYPE,NEPA_DECISION_DATE_APPROVED,SUFF_REVIEW_DATE,NEPA_SCHEDULE,NEPA_YR
0,31203,MESA RANGER DISTRICT,00039,GOLDFIELD,CLOSED,DECISION NOTICE/FONSI (EA),01/01/1975,,,1975.0
1,30903,BRADSHAW RANGER DISTRICT,00316,BLUE BELL,ACTIVE,DECISION NOTICE/FONSI (EA),10/02/1952,,2019.0,1952.0
2,30901,CHINO VALLEY RANGER DISTRICT,00123,WILLIAMSON VALLEY,ACTIVE,DECISION NOTICE/FONSI (EA),10/02/1952,,,1952.0
3,41301,SALMON-COBALT RANGER DISTRICT,10510,SOUTH FORK WILLIAMS CR,ACTIVE,,04/21/1967,,,1967.0
4,11184,ASHLAND RANGER DISTRICT,40741,LISCOM BUTTE,ACTIVE,DECISION NOTICE/FONSI (EA),06/09/1970,,2019.0,1970.0
5,60101,BEND/FORT ROCK RANGER DISTRICT,03009,SUGAR PINE,CLOSED,,01/01/1986,,,1986.0
6,41904,EVANSTON-MOUNTAIN VIEW RANGER DISTRICT,00507,BURRO PEAKS (CLOSED),CLOSED,,01/01/1987,,,1987.0
7,41904,EVANSTON-MOUNTAIN VIEW RANGER DISTRICT,00509,THOMPSON PEAK (CLOSED),CLOSED,,01/01/1987,,,1987.0
8,41904,EVANSTON-MOUNTAIN VIEW RANGER DISTRICT,00511,WEST BEAVER (CLOSED),CLOSED,,01/01/1987,,,1987.0
9,41707,RUBY MOUNTAINS RANGER DISTRICT,00249,COTTONWOOD C&H,ACTIVE,RECORD OF DECISION (EIS),05/25/1972,,,1972.0
10,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,30306,MARCO CREEK,ACTIVE,,12/16/1972,,,1972.0
11,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,20210,MORGAN CREEK - PRAIRIE BASIN,ACTIVE,,03/31/1972,,,1972.0
12,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,30320,BULL TROUT,VACANT,,09/30/1973,,,1973.0
13,41701,CARSON RANGER DISTRICT,10117,MURRAY CANYON C&H,ACTIVE,RECORD OF DECISION (EIS),11/17/1973,,,1973.0
14,41704,TONOPAH RANGER DISTRICT,40411,SAULSBURY (WINTER),ACTIVE,RECORD OF DECISION (EIS),03/22/1973,,,1973.0
15,41704,TONOPAH RANGER DISTRICT,40402,LITTLE FISH LAKE,ACTIVE,RECORD OF DECISION (EIS),08/13/1974,,2022.0,1974.0
16,41304,LOST RIVER RANGER DISTRICT,40414,PASS CREEK,ACTIVE,,06/06/1974,,,1974.0
17,41302,CHALLIS-YANKEE FORK RANGER DISTRICT,30308,PINE CREEK,ACTIVE,,04/26/1974,,,1974.0
18,41704,TONOPAH RANGER DISTRICT,40410,ROUND MOUNTAIN,VACANT,RECORD OF DECISION (EIS),03/25/1974,,,1974.0
19,41704,TONOPAH RANGER DISTRICT,40415,ROUND MOUNTAIN (WINTER),ACTIVE,RECORD OF DECISION (EIS),03/25/1974,,,1974.0
20,40204,CASCADE RANGER DISTRICT,00404,GOLD FORK (VACANT),VACANT,,04/04/1975,,,1975.0
21,41306,MIDDLE FORK RANGER DISTRICT,60106,LOON CREEK,ACTIVE,,06/11/1975,,,1975.0
22,41701,CARSON RANGER DISTRICT,10118,NOBLE CANYON C&H,ACTIVE,RECORD OF DECISION (EIS),05/14/1975,,2022.0,1975.0
23,20904,DIVIDE RANGER DISTRICT,09453,CIMARRON,VACANT,,06/11/1976,,2025.0,1976.0
24,62104,REPUBLIC RANGER DISTRICT,07600,COPPER-MIRES,ACTIVE,,08/05/1976,,2028.0,1976.0
25,41301,SALMON-COBALT RANGER DISTRICT,10503,DEER-IRON CREEK,ACTIVE,,05/28/1976,,,1976.0
26,41301,SALMON-COBALT RANGER DISTRICT,10504,DIAMOND MOOSE,ACTIVE,DECISION NOTICE/FONSI (EA),05/26/1976,,2022.0,1976.0
