,Date,Group,Repeating No,String,Trend No,Dec No
0,2013-01-01,A,9,ibfq,0.0,1545.0
1,2013-01-02,B,6,vqjd,1.5,758.1666667
2,2013-01-03,C,7,ncpz,5.0,1722.0
3,2013-01-04,D,8,vgkk,10.5,1622.8
4,2013-01-05,E,4,tnsn,6.0,772.4
5,2013-01-06,A,7,mduh,12.5,792.0
6,2013-01-07,B,10,vpyh,24.0,110.1111111
7,2013-01-08,C,1,rvyu,7.0,498.3
8,2013-01-09,D,8,gsjd,12.0,8442.0
9,2013-01-10,E,10,wcuo,4.5,751.6
10,2013-01-11,A,7,qlkx,25.0,952.875
11,2013-01-12,B,5,ivbp,11.0,1045.666667
12,2013-01-13,C,4,gojl,24.0,2485.0
13,2013-01-14,D,5,fkyn,45.5,373.375
14,2013-01-15,E,1,fgxq,21.0,761.0
15,2013-01-16,A,10,skxk,67.5,450.0
16,2013-01-17,B,3,wzpm,56.0,591.0
17,2013-01-18,C,1,uann,85.0,475.75
18,2013-01-19,D,7,ebsg,63.0,3040.666667
19,2013-01-20,E,9,byjg,95.0,702.2222222
20,2013-01-21,A,1,xxfv,90.0,1596.4
21,2013-01-22,B,6,eiwn,105.0,1123.5
22,2013-01-23,C,7,bkjn,88.0,627.3333333
23,2013-01-24,D,5,drll,11.5,712.1111111
24,2013-01-25,E,4,urgp,108.0,928.7142857
25,2013-01-26,A,7,pkxd,12.5,3254.666667
26,2013-01-27,B,6,nlbg,91.0,1783.0
27,2013-01-28,C,4,zxsw,121.5,635.8571429
28,2013-01-29,D,5,bxlz,112.0,169.125
29,2013-01-30,E,6,qqlf,116.0,2837.0
30,2013-01-31,A,9,wibq,30.0,469.4444444
31,2013-02-01,B,9,vmnw,31.0,1131.0
32,2013-02-02,C,1,weix,128.0,2415.25
33,2013-02-03,D,3,ufgn,165.0,670.4
34,2013-02-04,E,4,fpqp,17.0,1014.0
35,2013-02-05,A,8,ztra,140.0,594.875
36,2013-02-06,B,1,twze,72.0,582.8571429
37,2013-02-07,C,9,fbcv,185.0,1205.2
38,2013-02-08,D,1,vuar,76.0,1056.111111
39,2013-02-09,E,5,yraj,19.5,486.0
40,2013-02-10,A,8,jibb,80.0,400.7
41,2013-02-11,B,2,irxp,82.0,30.11111111
42,2013-02-12,C,9,tdrl,63.0,288.125
43,2013-02-13,D,2,jiop,43.0,161.1111111
44,2013-02-14,E,8,tzro,198.0,855.1666667
45,2013-02-15,A,8,iqni,45.0,476.3333333
46,2013-02-16,B,4,wjkn,69.0,768.8333333
47,2013-02-17,C,3,czio,164.5,3382.0
48,2013-02-18,D,1,wmcg,168.0,4676.5
49,2013-02-19,E,4,pkub,24.5,2102.75
50,2013-02-20,A,7,dltr,250.0,8020.0
51,2013-02-21,B,5,pctz,51.0,1808.4
52,2013-02-22,C,5,jsis,52.0,953.25
53,2013-02-23,D,7,pmjq,265.0,536.4
54,2013-02-24,E,4,jgax,54.0,430.0
55,2013-02-25,A,3,bttd,27.5,135.0
56,2013-02-26,B,5,gyey,56.0,309.6
57,2013-02-27,C,8,gcbi,199.5,8732.0
58,2013-02-28,D,8,dpjg,58.0,686.1111111
59,2013-03-01,E,4,fubi,265.5,554.0
60,2013-03-02,A,3,qlrv,30.0,779.6
61,2013-03-03,B,6,ozoy,91.5,283.2
62,2013-03-04,C,7,mirk,124.0,285.375
63,2013-03-05,D,1,ufrd,63.0,869.7777778
64,2013-03-06,E,9,rucw,160.0,3825.5
65,2013-03-07,A,4,tkkn,325.0,3249.333333
66,2013-03-08,B,4,ocwb,330.0,891.3
67,2013-03-09,C,10,kwjx,268.0,284.6
68,2013-03-10,D,5,hhjy,272.0,1978.0
69,2013-03-11,E,8,jzoz,138.0,629.3
70,2013-03-12,A,2,bqlb,105.0,4374.0
71,2013-03-13,B,9,spoo,35.5,1160.0
72,2013-03-14,C,3,srnl,360.0,664.75
73,2013-03-15,D,8,jxsa,146.0,1098.333333
74,2013-03-16,E,8,qeod,148.0,3297.333333
75,2013-03-17,A,1,ogwq,300.0,724.5555556
76,2013-03-18,B,8,flky,76.0,2880.0
77,2013-03-19,C,3,qzzt,115.5,6479.0
78,2013-03-20,D,6,qgeq,273.0,508.75
79,2013-03-21,E,2,jkjx,395.0,2452.0
80,2013-03-22,A,1,iqtb,280.0,5157.0
81,2013-03-23,B,9,ugxi,81.0,55.0
82,2013-03-24,C,7,lfxi,246.0,529.6
83,2013-03-25,D,2,dqux,166.0,1350.6
84,2013-03-26,E,2,dvuy,378.0,969.5714286
85,2013-03-27,A,5,agka,425.0,211.125
86,2013-03-28,B,10,qtyy,172.0,633.3
87,2013-03-29,C,3,mrbw,304.5,205.6
88,2013-03-30,D,10,thnq,264.0,127.3333333
89,2013-03-31,E,1,zoon,89.0,529.6666667
90,2013-04-01,A,4,fzvy,90.0,1270.0
91,2013-04-02,B,6,bjex,91.0,1012.625
92,2013-04-03,C,2,nqpj,184.0,552.5714286
93,2013-04-04,D,2,mtqv,186.0,3915.0
94,2013-04-05,E,7,wtht,282.0,853.1
95,2013-04-06,A,5,oeno,142.5,1085.0
96,2013-04-07,B,9,cbcu,336.0,4826.0
97,2013-04-08,C,2,vlao,436.5,1278.75
98,2013-04-09,D,1,bnxt,147.0,415.25
99,2013-04-10,E,4,rxat,198.0,296.0
100,2013-04-11,A,7,fqru,50.0,1980.5
101,2013-04-12,B,3,xbxu,151.5,887.3333333
102,2013-04-13,C,3,mkqr,255.0,795.8571429
103,2013-04-14,D,1,jgyc,412.0,345.125
104,2013-04-15,E,2,vxtz,156.0,540.2
105,2013-04-16,A,9,mtnu,52.5,746.0
106,2013-04-17,B,8,wrgp,318.0,105.625
107,2013-04-18,C,2,qqro,374.5,1381.0
108,2013-04-19,D,9,tvsy,432.0,1039.333333
109,2013-04-20,E,1,lzcn,163.5,949.0
110,2013-04-21,A,3,tkws,385.0,3090.0
111,2013-04-22,B,5,oujn,444.0,612.5
112,2013-04-23,C,1,axqj,280.0,4051.5
113,2013-04-24,D,1,fkhc,282.5,3224.5
114,2013-04-25,E,7,xeba,342.0,960.8
115,2013-04-26,A,1,zoqy,345.0,620.875
116,2013-04-27,B,4,gwid,174.0,685.4
117,2013-04-28,C,7,fslg,585.0,177.1111111
118,2013-04-29,D,5,sdfl,354.0,1110.714286
119,2013-04-30,E,7,czlr,357.0,472.4
120,2013-05-01,A,9,iumg,480.0,7304.0
121,2013-05-02,B,4,klaq,242.0,457.8
122,2013-05-03,C,5,dlkz,549.0,485.4
123,2013-05-04,D,10,imji,492.0,426.2
124,2013-05-05,E,5,cahd,496.0,655.3333333
125,2013-05-06,A,6,ihcl,500.0,3675.5
126,2013-05-07,B,6,rjsz,504.0,669.0
127,2013-05-08,C,1,zfig,444.5,675.875
128,2013-05-09,D,3,wehb,320.0,2277.5
129,2013-05-10,E,7,bkgk,322.5,129.1666667
130,2013-05-11,A,2,tthz,585.0,3243.0
131,2013-05-12,B,10,mxhv,524.0,4006.5
132,2013-05-13,C,6,lqas,660.0,184.0
133,2013-05-14,D,5,wbbu,332.5,324.1428571
134,2013-05-15,E,3,sipx,134.0,2922.0
135,2013-05-16,A,10,fnub,270.0,742.125
136,2013-05-17,B,5,cgin,476.0,557.4444444
137,2013-05-18,C,8,pbgv,205.5,262.6
138,2013-05-19,D,8,ntoc,138.0,1275.0
139,2013-05-20,E,7,gfcq,278.0,2375.5
140,2013-05-21,A,5,tted,420.0,2077.0
141,2013-05-22,B,10,tkoz,211.5,861.0
142,2013-05-23,C,8,ihzv,213.0,197.4444444
143,2013-05-24,D,8,mxar,71.5,1044.0
144,2013-05-25,E,5,mglo,360.0,307.0
145,2013-05-26,A,9,wnen,290.0,954.125
146,2013-05-27,B,3,pauq,438.0,635.4285714
147,2013-05-28,C,9,quyp,441.0,7185.0
148,2013-05-29,D,5,tdtj,222.0,514.0
149,2013-05-30,E,2,yxcd,745.0,779.25
150,2013-05-31,A,9,ickc,150.0,4976.0
151,2013-06-01,B,1,cwyl,0.0,1152.428571
152,2013-06-02,C,10,efst,1.5,1729.666667
153,2013-06-03,D,5,fohy,1.0,300.75
154,2013-06-04,E,7,mhxz,13.5,171.2222222
155,2013-06-05,A,10,zztt,20.0,342.7142857
156,2013-06-06,B,7,aazp,12.5,1248.0
157,2013-06-07,C,4,ybsn,3.0,340.2
158,2013-06-08,D,4,vjvx,28.0,1999.6
159,2013-06-09,E,1,cxpd,40.0,964.4444444
160,2013-06-10,A,5,ruaf,27.0,2390.25
161,2013-06-11,B,6,kqda,10.0,138.75
162,2013-06-12,C,6,hbuh,49.5,2019.5
163,2013-06-13,D,8,chac,18.0,1710.0
164,2013-06-14,E,10,obld,39.0,8742.0
165,2013-06-15,A,6,ttvy,42.0,766.5
166,2013-06-16,B,10,smcc,37.5,162.75
167,2013-06-17,C,5,gmdg,48.0,1126.75
168,2013-06-18,D,4,qkil,25.5,2071.0
169,2013-06-19,E,10,bzxn,90.0,762.1111111
170,2013-06-20,A,4,kvna,9.5,2179.25
171,2013-06-21,B,9,uexc,30.0,1057.0
172,2013-06-22,C,3,dmlz,94.5,1018.4
173,2013-06-23,D,3,lxdt,77.0,508.6
174,2013-06-24,E,10,yqhz,34.5,904.5
175,2013-06-25,A,4,mdiy,36.0,611.0
176,2013-06-26,B,9,jemu,50.0,1212.0
177,2013-06-27,C,3,ntct,104.0,8068.0
178,2013-06-28,D,9,obix,94.5,139.0
179,2013-06-29,E,7,swhh,98.0,922.1666667
180,2013-06-30,A,5,arfh,116.0,1121.428571
181,2013-07-01,B,5,ncur,150.0,856.6
182,2013-07-02,C,3,lvfq,15.5,1127.75
183,2013-07-03,D,4,rzcn,64.0,1790.5
184,2013-07-04,E,6,mkqg,16.5,701.2857143
185,2013-07-05,A,1,wwir,102.0,19.42857143
186,2013-07-06,B,5,nojy,87.5,9726.0
187,2013-07-07,C,5,ohyi,36.0,2686.666667
188,2013-07-08,D,1,dwwo,92.5,1045.571429
189,2013-07-09,E,3,biuj,114.0,435.0
190,2013-07-10,A,10,mbjw,156.0,109.0
191,2013-07-11,B,9,vfrb,120.0,921.6666667
192,2013-07-12,C,7,nfsp,143.5,2036.5
193,2013-07-13,D,3,hred,42.0,277.125
194,2013-07-14,E,7,whxj,215.0,470.5
195,2013-07-15,A,6,ndqw,44.0,364.125
196,2013-07-16,B,7,vfut,45.0,406.0
197,2013-07-17,C,6,tlca,138.0,1241.142857
198,2013-07-18,D,10,jexq,47.0,136.7142857
199,2013-07-19,E,4,ecbd,144.0,1125.333333
200,2013-07-20,A,6,diwh,245.0,2184.0
201,2013-07-21,B,3,yigs,75.0,722.1
202,2013-07-22,C,10,zgoz,153.0,148.5714286
203,2013-07-23,D,1,pfiv,156.0,341.5714286
204,2013-07-24,E,1,lybh,132.5,1154.25
205,2013-07-25,A,2,nxey,108.0,857.3333333
206,2013-07-26,B,10,bqrq,27.5,642.4444444
207,2013-07-27,C,8,jrrb,252.0,93.7
208,2013-07-28,D,9,voha,228.0,577.0
209,2013-07-29,E,3,lcyz,29.0,1030.25
210,2013-07-30,A,5,dvuk,295.0,564.3333333
211,2013-07-31,B,4,jfmd,270.0,1000.0
212,2013-08-01,C,4,camc,30.5,7857.0
213,2013-08-02,D,2,rwxl,248.0,956.1428571
214,2013-08-03,E,3,qlhs,31.5,21.8
